lp,ln,hc,orders
7.780710358,13.94664159,8.346491927,11
8.241190012,14.34489168,7.984144372,11
7.780710358,13.94664159,8.346491927,11
7.780710358,13.94664159,8.346491927,11
8.241190012,14.34489168,7.984144372,11
7.780710358,13.94664159,8.346491927,11
7.780710358,13.94664159,8.346491927,11
7.780710358,13.94664159,8.346491927,11
7.780710358,13.94664159,8.346491927,11
7.780710358,13.94664159,8.346491927,11
7.780710358,13.94664159,8.346491927,11
7.780710358,13.94664159,8.346491927,11
8.666316483,13.7098877,8.124968048,10
7.990014999,12.90353731,8.028275808,10
8.485236658,14.05219466,8.500807847,10
9.432235676,12.54547871,8.863849433,10
8.280464189,13.83461177,8.256516026,10
8.840672379,12.610226,9.011395894,10
7.711755966,14.51406119,8.073606997,10
8.159444943,13.49148166,8.987250453,10
7.89129928,14.4481136,9.306059775,10
8.800941275,12.82847406,9.361134214,10
8.280464189,13.83461177,8.256516026,10
8.840672379,12.610226,9.011395894,10
8.666316483,13.7098877,8.124968048,10
8.313517509,12.77162848,9.805715358,10
8.666316483,13.7098877,8.124968048,10
8.313517509,12.77162848,9.805715358,10
8.916244829,13.17071001,8.489295146,10
7.805489869,13.36559706,8.358177021,10
8.916244829,13.17071001,8.489295146,10
7.741213419,13.44341323,8.016139506,10
9.104958794,12.84898861,9.062748939,9
9.068881204,14.25304525,8.623910919,9
7.679990702,12.99229998,8.937576557,9
9.511296512,14.45784214,9.342715758,9
8.107488371,14.20376156,9.739405574,9
9.336973128,13.99648217,8.062837248,9
8.518751144,13.28244876,9.249034446,9
8.580075444,14.53157782,9.442591909,9
8.704337549,12.69364664,9.839778118,9
9.029401671,12.813778,9.774417458,9
8.778941625,13.89871825,8.980128322,9
8.591326791,14.13401064,9.269270189,9
9.187930485,14.35993544,8.63299593,9
9.36885915,13.37904549,9.114173539,9
9.287911923,14.30908503,8.533024933,9
8.337043079,14.3909497,9.830135412,9
8.051566984,14.47592024,8.993706255,9
7.916251068,14.01301602,8.680026234,9
8.434916112,12.71191046,9.047341799,9
8.042221652,13.80146829,9.909958406,9
8.74745714,13.0490301,9.666171852,9
9.617318381,13.64380632,8.442887168,9
9.389454789,12.97844553,8.922893516,9
9.313498465,13.62234747,8.739519957,9
9.151158374,14.01920601,9.487754578,8
9.102974708,13.14806704,8.203464116,8
8.718922935,13.78909967,9.418512297,8
9.071460054,13.31899337,9.445589164,8
8.624017423,14.15987898,8.293482159,8
9.46792601,13.29991495,9.903764407,8
8.541998546,13.94941356,9.206460551,8
8.997773615,13.82757617,9.319102985,8
8.371481626,13.38480425,8.688206871,8
9.378877365,12.74857157,8.533371163,8
8.994274554,12.93170895,8.581163859,8
9.505145321,13.71444056,9.616132649,8
8.364789796,14.32950706,8.158102108,8
8.012045173,13.85604259,9.626981023,8
8.655622295,13.73509386,9.178249171,8
9.183598869,13.09954856,9.512950919,8
8.086228225,13.57444008,8.634744433,8
9.087195932,13.218046,9.081189976,8
7.946404121,14.08779352,8.157742071,8
8.464508243,13.69310525,9.595540156,8
9.538873019,13.24935304,9.541507426,8
8.8592731,12.81867636,8.316032015,8
8.081337463,13.55687689,8.335863481,8
7.790063979,14.51077296,9.145044276,8
7.766117769,13.24695399,8.849580722,8
8.38500833,13.5944621,9.109645213,8
7.665791283,13.90471388,7.969650416,8
8.467748159,13.39550078,9.530310778,8
8.956289154,13.45411905,8.102384602,8
7.983388341,13.34752181,7.947976742,8
8.241360474,13.08858776,9.914364236,8
8.190641572,12.59689026,8.90394935,8
9.205349496,13.50359101,8.788419655,8
8.152322435,13.64607252,8.7562063,8
9.200406766,13.03159386,8.549822268,8
9.533508152,12.97674159,9.736045507,8
8.219218033,14.11747464,8.835207734,7
9.229325414,14.18882299,9.274539049,7
8.656505482,13.16684067,8.251854184,7
8.656505482,13.16684067,8.251854184,7
9.229325414,14.18882299,9.274539049,7
8.219218033,14.11747464,8.835207734,7
8.219218033,14.11747464,8.835207734,7
8.656505482,13.16684067,8.251854184,7
9.229325414,14.18882299,9.274539049,7
9.229325414,14.18882299,9.274539049,7
8.776460893,12.60031284,8.185901226,7
8.776460893,12.60031284,8.185901226,7
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
8.311614683,12.55256236,9.430337028,6
